1406;Mamonas Assassinas;248
Cabeça de Bagre II /Sample: Baby Elephant Walk (Instrumental);Mamonas Assassinas;140
Bois Don't Cry;Mamonas Assassinas;178
Don't Stay;Linkin Park;188
Figure.09;Linkin Park;198
Chorei ;Banda Uó;226
Rebelde;RBD;214
Eva;Radio Taxi;209
Dirty Harry;Gorillaz, Bootie Brown;230
DARE;Gorillaz;245
Plastic Beach;Gorillaz, Mick Jones, Paul Simonon;227
Controllah;Gorillaz, MC Bin Laden;150
Menina Veneno;Ritchie;281
Meteoro;Banda Djavú;234
Funkytown;Lipps Inc.;240
Saudade de Rosa;Bartô Galeno;187
